2019-07-19-10-28-26  0  1  1000  0, 5  0,  1000
2019-07-19-10-28-52  11  1  1500  0, 5  11,  1500
2019-07-19-10-29-27  200  1  1500  0, 5  200,  1500
2019-07-20-10-05-42  700  1  1100  0, 5  700,  1100
2019-07-20-10-07-11  1200  1  1200  0, 5  1200,  1200
